Name,Domain,Status,Notes,Sources,clean_domain,russian_prop
20minuts[.]com,20minuts[.]com,,Spoofs the French newspaper 20 minutes.,[1][2],20minuts.com,1
50 States of Lie,50statesoflie.com,Defunct,,[3][4][5][6],50statesoflie.com,1
Acrosstheline.press,Acrosstheline.press,Defunct,Seized by the United States federal government in 2024.,[5][4][6],acrosstheline.press,1
Avisindependent[.]eu,Avisindependent[.]eu,,,[1][2],avisindependent.eu,1
ansa[.]ltd,ansa[.]ltd,,Spoofs ANSA.,[7][1][2],ansa.ltd,1
bild-d[.]beauty,bild-d[.]beauty,,Imitates Bild.,[2],bild-d.beauty,1
bild[.]Asia,bild[.]Asia,,Imitates Bild.,[7][1][2][4][6],bild.asia,1
bild[.]beauty,bild[.]beauty,,Imitates Bild.,[2],bild.beauty,1
bild[.]eu[.]com,bild[.]eu[.]com,,Imitates Bild.,[7][1][2],bild.eu.com,1
bild[.]expert,bild[.]expert,,Imitates Bild.,[2],bild.expert,1
Bild[.]llc,Bild[.]llc,,Imitates Bild.,[7][1][2][4][6],bild.llc,1
Bild[.]pics,Bild[.]pics,,Imitates Bild.,[7][1][2][4],bild.pics,1
bild[.]work,bild[.]work,,Imitates Bild.,[2][6],bild.work,1
bildd[.]beauty,bildd[.]beauty,,Imitates Bild.,[2],bildd.beauty,1
bildd[.]lol,bildd[.]lol,,Imitates Bild.,[2],bildd.lol,1
blld[.]live,blld[.]live,,Imitates Bild.,[2][4],blld.live,1
build[.]vip,build[.]vip,,Imitates Bild.,[7][1][2],build.vip,1
build[.]work,build[.]work,Defunct,Imitates Bild. Seized by the United States federal government in 2024.,[7][1][2][4],build.work,1
build[.]ws,build[.]ws,,Imitates Bild.,[7][1][2][4][6],build.ws,1
bund[.]pe,bund[.]pe,,,[2],bund.pe,1
bundespolizei[.]pe,bundespolizei[.]pe,,,[2],bundespolizei.pe,1
cropmarketchronicles.us,cropmarketchronicles.us,,,[5],cropmarketchronicles.us,1
dailymail[.]cam,dailymail[.]cam,,Imitates The Daily Mail.,[7][1][2][4][6],dailymail.cam,1
dailymail[.]cfd,dailymail[.]cfd,,Imitates The Daily Mail.,[7][1][2][4][6],dailymail.cfd,1
dailymail[.]top,dailymail[.]top,,Imitates The Daily Mail.,[7][1][2][4][6],dailymail.top,1
delfi[.]life,delfi[.]life,,,[1][2][4][6],delfi.life,1
delfi[.]today,delfi[.]today,,,[1][2][4][6],delfi.today,1
delfi[.]top,delfi[.]top,,,[1][2][4][6],delfi.top,1
Election Watch,electionwatch.live,Defunct,,[3][4][5][6],electionwatch.live,1
faz[.]agency,faz[.]agency,,Spoofs FAZ.,[7][1][2][4][6],faz.agency,1
faz[.]beauty,faz[.]beauty,,Spoofs FAZ.,[2],faz.beauty,1
faz[.]life,faz[.]life,,Spoofs FAZ.,[2][4][6],faz.life,1
faz[.]lol,faz[.]lol,,Spoofs FAZ.,[2],faz.lol,1
faz[.]ltd,faz[.]ltd,Defunct,Spoofs FAZ. Seized by the United States federal government in 2024.,[7][1][2][4][6],faz.ltd,1
fazz[.]beauty,fazz[.]beauty,,Spoofs FAZ.,[2],fazz.beauty,1
fazz[.]lol,fazz[.]lol,,Spoofs FAZ.,[2],fazz.lol,1
fox-news[.]in,fox-news[.]in,Defunct,Spoofs Fox News. Seized by the United States federal government in 2024.,[2][3][4][8][6],fox-news.in,1
fox-news[.]top,fox-news[.]top,Defunct,Spoofs Fox News. Seized by the United States federal government in 2024.,[2][4],fox-news.top,1
fraiesvolk[.]com,fraiesvolk[.]com,,,[1][2][6],fraiesvolk.com,1
gouv[.]fm,gouv[.]fm,,,[2],gouv.fm,1
govv[.]pw,govv[.]pw,,,[2],govv.pw,1
holylandherald.com,holylandherald.com,Defunct,Seized by the United States federal government in 2024.,[5][4][6],holylandherald.com,1
theguardian[.]co[.]com,theguardian[.]co[.]com,,Spoof of The Guardian that falsely claims Ukraine faked civilian deaths during the Bucha massacre.,[1][2],theguardian.co.com,1
infosindependants[.]fr,infosindependants[.]fr,,,[9],infosindependants.fr,1
jewishjournal[.]info,jewishjournal[.]info,,Spoof of the Jewish Journal.,[10][2],jewishjournal.info,1
jiraboom[.]pro,jiraboom[.]pro,,,[2],jiraboom.pro,1
la-croix[.]cam,la-croix[.]cam,,,[2],la-croix.cam,1
lemonde[.]ltd,lemonde[.]ltd,Defunct,Spoof of Le Monde. Seized by the United States federal government in 2024.,[2][4][6],lemonde.ltd,1
leparisien[.]cc,leparisien[.]cc,,Spoof of Le Parisien.,[2],leparisien.cc,1
leparisien[.]ltd,leparisien[.]ltd,Defunct,Spoof of Le Parisien. Seized by the United States federal government in 2024.,[2][4][6],leparisien.ltd,1
leparisien[.]pm,leparisien[.]pm,,Spoof of Le Parisien.,[11][2],leparisien.pm,1
lepoint[.]foo,lepoint[.]foo,,,[2],lepoint.foo,1
lepoint[.]info,lepoint[.]info,,,[2],lepoint.info,1
liberation[.]ltd,liberation[.]ltd,,,[2],liberation.ltd,1
Liesofwallstreet.com,liesofwallstreet.com,,,[3][5][6],liesofwallstreet.com,1
mako[.]news,mako[.]news,,Spoof of Mako.,[10][2],mako.news,1
mfa-qov[.]info,mfa-qov[.]info,,,[2],mfa-qov.info,1
morgenpost[.]ltd,morgenpost[.]ltd,,,[2],morgenpost.ltd,1
nato[.]ws,nato[.]ws,,,[2],nato.ws,1
nd-aktuell[.]co,nd-aktuell[.]co,,Spoofs Neues Deutschland.,[2][4][6],nd-aktuell.co,1
nd-aktuell[.]net,nd-aktuell[.]net,,Spoofs Neues Deutschland.,[1][2][4][6],nd-aktuell.net,1
nd-aktuell[.]pro,nd-aktuell[.]pro,,Spoofs Neues Deutschland.,[1][2][4][6],nd-aktuell.pro,1
obozrevatel[.]ltd,obozrevatel[.]ltd,,Spoofs Obozrevatel.,[2][4][6],obozrevatel.ltd,1
okmagazine[.]us,okmagazine[.]us,,"Spoofs OK Magazine. On July 30, 2025, a fake website imitating okmagazine.us published a fabricated article about President of Moldova Maia Sandu allegedly buying sperm from gay celebrities to conceive a child prior to the parliamentary elections, which will be held in Moldova on September 28, 2025. According to Whois, the domain was registered on July 28, 2025.",[12][13][14][15],okmagazine.us,1
polityka[.]pro,polityka[.]pro,,,[2],polityka.pro,1
